Date,City,State,Shape,Summary,Tier,Image_URL,Description,Report_URL
"2025-12-01 17:45 Local Reported: 2025-12-01 16:25 Pacific Duration: 2 min No of observers: 1 Location: Tolland, CT, USA Location details: Standing in my driveway Shape: Light Color: blue Estimated Size: 3 times the average star Viewed From: Land Direction from Viewer: north Angle of Elevation: 66 Closest Distance: No Idea Estimated Speed: no idea Witnessed 3 blue lights move across the sky with one of them changing direction in a impossible way I went to take the dog out as he usually needs to go out everyday around 5-6pm, when we went outside he ran off to do his thing and a strange light caught my eye and I was like that's strange did that just move I observe for a few seconds and yes it was moving slowly then changed directions. I run into the house and shut off the flood light as I thought it may be messing with my vision go back outside and it is pitch black and the sky is clear, I look around in the direction I saw the thing at first kinda scan the sky and observe 3 of the same kind of lights moving in kinda the same direction they were not in a line they were not stagered evenly. They also weren't all moving in a straight line I pull out my phone and record video after observing for about a min and they move out of sight dog is still out doing his thing somewhere behind the house. At that time I ran into the house stopped the recording and yell for my stepson to tell him and show him what I saw when I play the video all the begining part is gone didn't record and its only a few seconds of pitch black and me talking to myself and then going in the house and it stops. So I'm sitting here typing this shortly after this happened and I'm quite baffled to what I just saw I also checked flight radar to see if anything was in my area and there really wasn't anything that would have stuck out like a sore thumb. Posted 2025-12-04",Tolland,CT,"Light Color: blue Estimated Size: 3 times the average star Viewed From: Land Direction from Viewer: north Angle of Elevation: 66 Closest Distance: No Idea Estimated Speed: no idea Witnessed 3 blue lights move across the sky with one of them changing direction in a impossible way I went to take the dog out as he usually needs to go out everyday around 5-6pm, when we went outside he ran off to do his thing and a strange light caught my eye and I was like that's strange did that just move I observe for a few seconds and yes it was moving slowly then changed directions. I run into the house and shut off the flood light as I thought it may be messing with my vision go back outside and it is pitch black and the sky is clear, I look around in the direction I saw the thing at first kinda scan the sky and observe 3 of the same kind of lights moving in kinda the same direction they were not in a line they were not stagered evenly. They also weren't all moving in a straight line I pull out my phone and record video after observing for about a min and they move out of sight dog is still out doing his thing somewhere behind the house. At that time I ran into the house stopped the recording and yell for my stepson to tell him and show him what I saw when I play the video all the begining part is gone didn't record and its only a few seconds of pitch black and me talking to myself and then going in the house and it stops. So I'm sitting here typing this shortly after this happened and I'm quite baffled to what I just saw I also checked flight radar to see if anything was in my area and there really wasn't anything that would have stuck out like a sore thumb. Posted 2025-12-04",,,,"3 blue lights move across the sky with one of them changing direction in a impossible way I went to take the dog out as he usually needs to go out everyday around 5-6pm, when we went outside he ran off to do his thing and a strange light caught my eye and I was like that's strange did that just move I observe for a few seconds and yes it was moving slowly then changed directions. I run into the house and shut off the flood light as I thought it may be messing with my vision go back outside and it is pitch black and the sky is clear, I look around in the direction I saw the thing at first kinda scan the sky and observe 3 of the same kind of lights moving in kinda the same direction they were not in a line they were not stagered evenly. They also weren't all moving in a straight line I pull out my phone and record video after observing for about a min and they move out of sight dog is still out doing his thing somewhere behind the house. At that time I ran into the house stopped the recording and yell for my stepson to tell him and show him what I saw when I play the video all the begining part is gone didn't record and its only a few seconds of pitch black and me talking to myself and then going in the house and it stops. So I'm sitting here typing this shortly after this happened and I'm quite baffled to what I just saw I also checked flight radar to see if anything was in my area and there really wasn't anything that would have stuck out like a sore thumb.",https://nuforc.org/sighting/?id=194496
"2025-12-01 20:50 Local Reported: 2025-12-01 19:34 Pacific Duration: 10-25 sec No of observers: 2 Location: Rockaway Township, NJ, USA Location details: From road facing NW, towards trees on a ridge Shape: Orb Color: White Estimated Size: N/A Viewed From: Land Direction from Viewer: Northwest Angle of Elevation: 45 Closest Distance: N/a maybe a quarter mile Estimated Speed: N/A Characteristics: Lights on object White orb floating and suddenly dropping from sky At approximately 8:50pm we were driving northbound on Green Pond Road when we saw what looked like a star falling from the sky. It didn’t drop like a shooting star: there was no trail and it dropped straight down a significant distance below the tree line which is on a ridge. It was floating in one spot and made no trails or noise. Due to the darkness it was hard to judge the distance, altitude, and speed. We’ve seen large drones from the nearby army base since 2022 and we lived through the NJ drone outbreak last year. This wasn’t a drone and it wasn’t a shooting star or a starlink deployment (I’ve seen both). I’m typically skeptical when it comes to this stuff and I’ve had a background in aerospace before. I’m not an expert but I know more than the average person. This wasn’t something I genuinely can’t explain. I’ve attached a image of my vantage point approximately was when I saw it that I took an hour or so after the incident Posted 2025-12-04",Rockaway Township,NJ,"Orb Color: White Estimated Size: N/A Viewed From: Land Direction from Viewer: Northwest Angle of Elevation: 45 Closest Distance: N/a maybe a quarter mile Estimated Speed: N/A Characteristics: Lights on object White orb floating and suddenly dropping from sky At approximately 8:50pm we were driving northbound on Green Pond Road when we saw what looked like a star falling from the sky. It didn’t drop like a shooting star: there was no trail and it dropped straight down a significant distance below the tree line which is on a ridge. It was floating in one spot and made no trails or noise. Due to the darkness it was hard to judge the distance, altitude, and speed. We’ve seen large drones from the nearby army base since 2022 and we lived through the NJ drone outbreak last year. This wasn’t a drone and it wasn’t a shooting star or a starlink deployment (I’ve seen both). I’m typically skeptical when it comes to this stuff and I’ve had a background in aerospace before. I’m not an expert but I know more than the average person. This wasn’t something I genuinely can’t explain. I’ve attached a image of my vantage point approximately was when I saw it that I took an hour or so after the incident Posted 2025-12-04",,,https://nuforc.org/wp-content/uploads/simages/S194499_1.jpeg,"Skip to content NUFORC UFO Sighting 194499 Occurred: 2025-12-01 20:50 Local Reported: 2025-12-01 19:34 Pacific Duration: 10-25 sec No of observers: 2 Location: Rockaway Township, NJ, USA Location details: From road facing NW, towards trees on a ridge Shape: Orb Color: White Estimated Size: N/A Viewed From: Land Direction from Viewer: Northwest Angle of Elevation: 45 Closest Distance: N/a maybe a quarter mile Estimated Speed: N/A Characteristics: Lights on object White orb floating and suddenly dropping from sky At approximately 8:50pm we were driving northbound on Green Pond Road when we saw what looked like a star falling from the sky. It didn’t drop like a shooting star: there was no trail and it dropped straight down a significant distance below the tree line which is on a ridge. It was floating in one spot and made no trails or noise",https://nuforc.org/sighting/?id=194499
"2025-12-02 04:15 Local Reported: 2025-12-02 04:58 Pacific Duration: 45 minutes No of observers: 2 Location: Cimarron, KS, USA Location details: Saw these lights between Charleston, KS and Dodge City, KS while on a moving train. Shape: Unknown Color: White lights Estimated Size: Couldn't tell Viewed From: Land Direction from Viewer: East Angle of Elevation: 30 Closest Distance: Couldn't tell Estimated Speed: Couldn't tell Characteristics: Lights on object A minimum of three lights that were alternately bright then dim to the point you couldn't see them. While on an eastbound train, started seeing white lights in the eastern sky that became bright and then dimmed to no visibility. There were bright for about 5-10 seconds before dimming, becoming bright again after 10-15 seconds. There were a minimum of three since that's how many I ever saw at one time. They were making smooth (non-jerky) random movements both up and down and side to side. Sightings started near Charleston, KS and ended at Dodge City, KS from 4:15 AM to 5:00 AM CST Dec. 2nd. Posted 2025-12-04",Cimarron,KS,"Unknown Color: White lights Estimated Size: Couldn't tell Viewed From: Land Direction from Viewer: East Angle of Elevation: 30 Closest Distance: Couldn't tell Estimated Speed: Couldn't tell Characteristics: Lights on object A minimum of three lights that were alternately bright then dim to the point you couldn't see them. While on an eastbound train, started seeing white lights in the eastern sky that became bright and then dimmed to no visibility. There were bright for about 5-10 seconds before dimming, becoming bright again after 10-15 seconds. There were a minimum of three since that's how many I ever saw at one time. They were making smooth (non-jerky) random movements both up and down and side to side. Sightings started near Charleston, KS and ended at Dodge City, KS from 4:15 AM to 5:00 AM CST Dec. 2nd. Posted 2025-12-04",,,,"Skip to content NUFORC UFO Sighting 194508 Occurred: 2025-12-02 04:15 Local Reported: 2025-12-02 04:58 Pacific Duration: 45 minutes No of observers: 2 Location: Cimarron, KS, USA Location details: Saw these lights between Charleston, KS and Dodge City, KS while on a moving train. Shape: Unknown Color: White lights Estimated Size: Couldn't tell Viewed From: Land Direction from Viewer: East Angle of Elevation: 30 Closest Distance: Couldn't tell Estimated Speed: Couldn't tell Characteristics: Lights on object A minimum of three lights that were alternately bright then dim to the point you couldn't see them. While on an eastbound train, started seeing white lights in the eastern sky that became bright and then dimmed to no visibility",https://nuforc.org/sighting/?id=194508
"2025-12-01 21:00 Local Reported: 2025-12-02 07:08 Pacific Duration: Twenty minutes No of observers: 2 - Pilot - Military Location: Jamestown, NY, USA Location details: Airborne over Southern Ontario Canada Shape: Light Color: White Estimated Size: Indeterminate Viewed From: Aircraft Direction from Viewer: 250-280 Angle of Elevation: 10 Closest Distance: Indeterminate Estimated Speed: Extreme Characteristics: Lights on object Two pilots observed three aircraft While flying a private jet at 43,000 ft we (the two pilots) observed three aircraft flying in the night sky. They moved in concert and varied their formation from line abreast to random form and spacing. They would randomly and individually dim their lights down to the vanishing point then individually increase them to a very high intensity. They all remained above the horizon up to ten degrees elevation and the range was totally indeterminate. We were traveling at 450 kts groundspeed and never apparently closed the range. They could have remained at a range of 100 miles and been operating at sixty thousand feet, or they could have been fifty mikes high at a range of 2,000 miles and been located West of Portland, OR over the Eastern Pacific ocean. If they were space borne then reflective illumination by the sun cannot explain the varying intensity of their lights. We were west bound at high altitude and flying in clear air with an undercast which topped out about 39,000 ft. The ARTCC was Cleveland Center. We queried a controller about the sighting and he merely acknowledged it, but handed our inquiry to the next controller who subsequently asked us about our observation when we checked in on VHF. This was a very strange event involving three aircraft with incredible performance observed from long and indeterminate range by two highly experienced pilots. Posted 2025-12-04",Jamestown,NY,"Light Color: White Estimated Size: Indeterminate Viewed From: Aircraft Direction from Viewer: 250-280 Angle of Elevation: 10 Closest Distance: Indeterminate Estimated Speed: Extreme Characteristics: Lights on object Two pilots observed three aircraft While flying a private jet at 43,000 ft we (the two pilots) observed three aircraft flying in the night sky. They moved in concert and varied their formation from line abreast to random form and spacing. They would randomly and individually dim their lights down to the vanishing point then individually increase them to a very high intensity. They all remained above the horizon up to ten degrees elevation and the range was totally indeterminate. We were traveling at 450 kts groundspeed and never apparently closed the range. They could have remained at a range of 100 miles and been operating at sixty thousand feet, or they could have been fifty mikes high at a range of 2,000 miles and been located West of Portland, OR over the Eastern Pacific ocean. If they were space borne then reflective illumination by the sun cannot explain the varying intensity of their lights. We were west bound at high altitude and flying in clear air with an undercast which topped out about 39,000 ft. The ARTCC was Cleveland Center. We queried a controller about the sighting and he merely acknowledged it, but handed our inquiry to the next controller who subsequently asked us about our observation when we checked in on VHF. This was a very strange event involving three aircraft with incredible performance observed from long and indeterminate range by two highly experienced pilots. Posted 2025-12-04",,,,"Skip to content NUFORC UFO Sighting 194512 Occurred: 2025-12-01 21:00 Local Reported: 2025-12-02 07:08 Pacific Duration: Twenty minutes No of observers: 2 - Pilot - Military Location: Jamestown, NY, USA Location details: Airborne over Southern Ontario Canada Shape: Light Color: White Estimated Size: Indeterminate Viewed From: Aircraft Direction from Viewer: 250-280 Angle of Elevation: 10 Closest Distance: Indeterminate Estimated Speed: Extreme Characteristics: Lights on object Two pilots observed three aircraft While flying a private jet at 43,000 ft we (the two pilots) observed three aircraft flying in the night sky. They moved in concert and varied their formation from line abreast to random form and spacing. They would randomly and individually dim their lights down to the vanishing point then individually increase them to a very high intensity",https://nuforc.org/sighting/?id=194512
"2025-12-01 11:50 Local Reported: 2025-12-02 11:07 Pacific Duration: 5-10 Minutes No of observers: 1 Location: Lakewood, CO, USA Shape: Circle Color: Silver Gray Estimated Size: Unsure Viewed From: Land Direction from Viewer: Road Angle of Elevation: 47 Closest Distance: I’m not sure. Estimated Speed: Unsure Characteristics: Lights on object, Aura or haze around object, Animals reacted Circular gray metallic disc hovered silently, glided side-to-side, then shot upward at high speed—unlike any known aircraft. Was outside around 11:50 AM when I noticed something in the sky that didn’t look like any aircraft I’ve seen before. It was a circular-shaped object, kind of like a disc. The color was gray with a silver shine, almost metallic when light hit it. At first, it was staying completely still in one spot. It didn’t drift or wobble like a drone or helicopter. After a few seconds, it started moving side to side, but very smoothly—almost like it was gliding. There was no sound at all, not even a hum. The object stayed in view for about a minute. It moved left and right slowly at first, then paused, and then suddenly shot upward really fast until I couldn’t see it anymore. The movement didn’t look like anything a normal plane or drone could do. Posted 2025-12-05",Lakewood,CO,"Circle Color: Silver Gray Estimated Size: Unsure Viewed From: Land Direction from Viewer: Road Angle of Elevation: 47 Closest Distance: I’m not sure. Estimated Speed: Unsure Characteristics: Lights on object, Aura or haze around object, Animals reacted Circular gray metallic disc hovered silently, glided side-to-side, then shot upward at high speed—unlike any known aircraft. Was outside around 11:50 AM when I noticed something in the sky that didn’t look like any aircraft I’ve seen before. It was a circular-shaped object, kind of like a disc. The color was gray with a silver shine, almost metallic when light hit it. At first, it was staying completely still in one spot. It didn’t drift or wobble like a drone or helicopter. After a few seconds, it started moving side to side, but very smoothly—almost like it was gliding. There was no sound at all, not even a hum. The object stayed in view for about a minute. It moved left and right slowly at first, then paused, and then suddenly shot upward really fast until I couldn’t see it anymore. The movement didn’t look like anything a normal plane or drone could do. Posted 2025-12-05",,,https://nuforc.org/wp-content/uploads/simages/S194513_1.jpeg,"Skip to content NUFORC UFO Sighting 194513 Occurred: 2025-12-01 11:50 Local Reported: 2025-12-02 11:07 Pacific Duration: 5-10 Minutes No of observers: 1 Location: Lakewood, CO, USA Shape: Circle Color: Silver Gray Estimated Size: Unsure Viewed From: Land Direction from Viewer: Road Angle of Elevation: 47 Closest Distance: I’m not sure. Estimated Speed: Unsure Characteristics: Lights on object, Aura or haze around object, Animals reacted Circular gray metallic disc hovered silently, glided side-to-side, then shot upward at high speed—unlike any known aircraft. Was outside around 11:50 AM when I noticed something in the sky that didn’t look like any aircraft I’ve seen before",https://nuforc.org/sighting/?id=194513
"2025-12-02 20:45 Local Reported: 2025-12-02 20:38 Pacific Duration: 1 minute No of observers: 2 - Military Location: Bella Vista, AR, USA Location details: Over the west side of Bella vista Shape: Orb Color: White Estimated Size: 200 ft Viewed From: Land Direction from Viewer: West Angle of Elevation: 45 Closest Distance: 1 mile Estimated Speed: 50mph Explanation: Rocket - Certain Characteristics: Lights on object, Aura or haze around object, Left a trail Walked out my front door and saw a bright object moving in the distance. It was moving North to Southwest. Flight radar showed no aircraft in the vicinity. The object blew what looked like smoke from the front. The object looked like it was surrounded in smoke or fog even though it was a clear night. The object was moving slow. It started out bright and grew dimmer but it was hard to tell if it was getting dimmer because it changed direction and started moving sw. Posted 2025-12-05",Bella Vista,AR,"Orb Color: White Estimated Size: 200 ft Viewed From: Land Direction from Viewer: West Angle of Elevation: 45 Closest Distance: 1 mile Estimated Speed: 50mph Explanation: Rocket - Certain Characteristics: Lights on object, Aura or haze around object, Left a trail Walked out my front door and saw a bright object moving in the distance. It was moving North to Southwest. Flight radar showed no aircraft in the vicinity. The object blew what looked like smoke from the front. The object looked like it was surrounded in smoke or fog even though it was a clear night. The object was moving slow. It started out bright and grew dimmer but it was hard to tell if it was getting dimmer because it changed direction and started moving sw. Posted 2025-12-05",,,,"Skip to content NUFORC UFO Sighting 194519 Occurred: 2025-12-02 20:45 Local Reported: 2025-12-02 20:38 Pacific Duration: 1 minute No of observers: 2 - Military Location: Bella Vista, AR, USA Location details: Over the west side of Bella vista Shape: Orb Color: White Estimated Size: 200 ft Viewed From: Land Direction from Viewer: West Angle of Elevation: 45 Closest Distance: 1 mile Estimated Speed: 50mph Explanation: Rocket - Certain Characteristics: Lights on object, Aura or haze around object, Left a trail Walked out my front door and saw a bright object moving in the distance. The object blew what looked like smoke from the front. The object looked like it was surrounded in smoke or fog even though it was a clear night",https://nuforc.org/sighting/?id=194519
"2025-12-02 20:46 Local Reported: 2025-12-02 19:42 Pacific Duration: 45 minutes No of observers: 2 Location: Hamilton Township, NJ, USA Location details: On balcony observing the night sky Shape: Light Color: White Estimated Size: Unknown Viewed From: Land Direction from Viewer: Southeast Angle of Elevation: 56 Closest Distance: Unknown Estimated Speed: Thousands of feet per second Explanation: Searchlight - Probable Characteristics: Aura or haze around object, Emitted beams Sighting of numerous moving beams of light through the clouds. While seated on the balcony with my fiance, we observed what we first thought was a spotlight. As the sighting went on we realized it was not a spotlight but beams of light and light flashes above the clouds. Usually there were three or four of them. Although at times there were as many as seven. They came together and spread out. Moved independently in alternating directions of each other. Several times they also gathered together and rotated on an axis. They would appear for 10 to 15 seconds at a time and then be gone for 30 seconds or a minute and then reappear Posted 2025-12-05",Hamilton Township,NJ,"Light Color: White Estimated Size: Unknown Viewed From: Land Direction from Viewer: Southeast Angle of Elevation: 56 Closest Distance: Unknown Estimated Speed: Thousands of feet per second Explanation: Searchlight - Probable Characteristics: Aura or haze around object, Emitted beams Sighting of numerous moving beams of light through the clouds. While seated on the balcony with my fiance, we observed what we first thought was a spotlight. As the sighting went on we realized it was not a spotlight but beams of light and light flashes above the clouds. Usually there were three or four of them. Although at times there were as many as seven. They came together and spread out. Moved independently in alternating directions of each other. Several times they also gathered together and rotated on an axis. They would appear for 10 to 15 seconds at a time and then be gone for 30 seconds or a minute and then reappear Posted 2025-12-05",,,,"Skip to content NUFORC UFO Sighting 194521 Occurred: 2025-12-02 20:46 Local Reported: 2025-12-02 19:42 Pacific Duration: 45 minutes No of observers: 2 Location: Hamilton Township, NJ, USA Location details: On balcony observing the night sky Shape: Light Color: White Estimated Size: Unknown Viewed From: Land Direction from Viewer: Southeast Angle of Elevation: 56 Closest Distance: Unknown Estimated Speed: Thousands of feet per second Explanation: Searchlight - Probable Characteristics: Aura or haze around object, Emitted beams Sighting of numerous moving beams of light through the clouds. While seated on the balcony with my fiance, we observed what we first thought was a spotlight. As the sighting went on we realized it was not a spotlight but beams of light and light flashes above the clouds",https://nuforc.org/sighting/?id=194521
"2025-12-02 17:52 Local Reported: 2025-12-02 18:53 Pacific Duration: 1:36 No of observers: 1 Location: Bartlesville, OK, USA Shape: Light Color: White silver Estimated Size: Unknown Viewed From: Land Direction from Viewer: SSW Angle of Elevation: 21 Closest Distance: A mile or more Estimated Speed: Unknown Explanation: Rocket - Certain Characteristics: Lights on object, Aura or haze around object, Emitted other objects I walked outside to let my dog out and looked up thinking the light was a star. It was blurry and I daw it moving so started recording. The craft may have been a drone but it released a clear ring of vapor in front of it. Then it proceeded to move toward the ring and stay in it until it disappeared about a minute later. See my record video and disregard the audiobook that was playing on my phone while i was recording. Posted 2025-12-05",Bartlesville,OK,"Light Color: White silver Estimated Size: Unknown Viewed From: Land Direction from Viewer: SSW Angle of Elevation: 21 Closest Distance: A mile or more Estimated Speed: Unknown Explanation: Rocket - Certain Characteristics: Lights on object, Aura or haze around object, Emitted other objects I walked outside to let my dog out and looked up thinking the light was a star. It was blurry and I daw it moving so started recording. The craft may have been a drone but it released a clear ring of vapor in front of it. Then it proceeded to move toward the ring and stay in it until it disappeared about a minute later. See my record video and disregard the audiobook that was playing on my phone while i was recording. Posted 2025-12-05",,,,"Skip to content NUFORC UFO Sighting 194522 Occurred: 2025-12-02 17:52 Local Reported: 2025-12-02 18:53 Pacific Duration: 1:36 No of observers: 1 Location: Bartlesville, OK, USA Shape: Light Color: White silver Estimated Size: Unknown Viewed From: Land Direction from Viewer: SSW Angle of Elevation: 21 Closest Distance: A mile or more Estimated Speed: Unknown Explanation: Rocket - Certain Characteristics: Lights on object, Aura or haze around object, Emitted other objects I walked outside to let my dog out and looked up thinking the light was a star. It was blurry and I daw it moving so started recording. The craft may have been a drone but it released a clear ring of vapor in front of it",https://nuforc.org/sighting/?id=194522
"2025-12-02 18:00 Local Reported: 2025-12-02 17:08 Pacific Duration: Around 5 minutes or so No of observers: 1 Location: DeRidder, LA, USA Location details: I was in my driveway facing west when I saw it make a sonic boom circle and its change direction Shape: Changing Color: White, blue, clear Viewed From: Land Direction from Viewer: I saw the object in the western sky Angle of Elevation: 45 Explanation: Rocket - Certain Characteristics: Lights on object, Aura or haze around object, Changed Colo Sonic boom circle in sky caught my eye. Object moving west after boom, suddenly veers south. Had atmospheric burning in front? Changed I was backing into my driveway when I saw a sonic boom circle in the sky to the west (sun was setting). Object was steadily moving west after boom circle sighting, then it suddenly veered south. No consistent speed. It looked like a falling star tail on the front/the side facing thr direction it was traveling. Possibly atmospheric entry type burning is the only way I could explain it. Upon looking closer, it seemed to have a clearlike forcefield look. Inside forcefield looking circle, the object appeared long and thing then would become small and circular and seemed to morph the forcefield shape simultaneously. It would change direction for a moment when the shape would change, but continued south. It almost looked like a star about to burn up and then would light up bright and elongate. Nothing was consistent. Posted 2025-12-05",DeRidder,LA,"Changing Color: White, blue, clear Viewed From: Land Direction from Viewer: I saw the object in the western sky Angle of Elevation: 45 Explanation: Rocket - Certain Characteristics: Lights on object, Aura or haze around object, Changed Colo Sonic boom circle in sky caught my eye. Object moving west after boom, suddenly veers south. Had atmospheric burning in front? Changed I was backing into my driveway when I saw a sonic boom circle in the sky to the west (sun was setting). Object was steadily moving west after boom circle sighting, then it suddenly veered south. No consistent speed. It looked like a falling star tail on the front/the side facing thr direction it was traveling. Possibly atmospheric entry type burning is the only way I could explain it. Upon looking closer, it seemed to have a clearlike forcefield look. Inside forcefield looking circle, the object appeared long and thing then would become small and circular and seemed to morph the forcefield shape simultaneously. It would change direction for a moment when the shape would change, but continued south. It almost looked like a star about to burn up and then would light up bright and elongate. Nothing was consistent. Posted 2025-12-05",,,,"Skip to content NUFORC UFO Sighting 194524 Occurred: 2025-12-02 18:00 Local Reported: 2025-12-02 17:08 Pacific Duration: Around 5 minutes or so No of observers: 1 Location: DeRidder, LA, USA Location details: I was in my driveway facing west when I saw it make a sonic boom circle and its change direction Shape: Changing Color: White, blue, clear Viewed From: Land Direction from Viewer: I saw the object in the western sky Angle of Elevation: 45 Explanation: Rocket - Certain Characteristics: Lights on object, Aura or haze around object, Changed Colo Sonic boom circle in sky caught my eye. Object moving west after boom, suddenly veers south. Changed I was backing into my driveway when I saw a sonic boom circle in the sky to the west (sun was setting)",https://nuforc.org/sighting/?id=194524
"2025-12-02 21:00 Local Reported: 2025-12-03 12:53 Pacific Duration: 3ish minutes No of observers: 1 Location: Seattle, WA, USA Location details: In my living room looking out the north facing windows towards downtown Seattle Shape: Orb Color: White or blue Estimated Size: Larger than a helicopter Viewed From: Land Direction from Viewer: Facing north Angle of Elevation: 45 Closest Distance: Maybe a mile or two Estimated Speed: Slow to extremely fast Explanation: Searchlight - Possible Characteristics: Lights on object, Aura or haze around object Something zipped past the clouds outside my windows which drew my attention. Three more were moving around then took off I was sitting in my living room in Beacon Hill, just outside downtown Seattle, facing west and watching television. The blinds on the north-facing window were completely open. Suddenly, something very bright and fast zipped through the overcast clouds from west to east, right at the point where the roofline of my house meets the sky. This caught my attention and caused me to turn and look. Further north, I noticed three lights in the sky. At first, I dismissed them as spotlights, but I kept glancing back because their movement was unusual. The lights would separate, then come back together. Occasionally, one would zip away and then return. They moved in circles, traveled side by side, peeled off in different directions, and at times moved in a distinct zig-zag pattern. What prompted me to get up and move closer to the window was the realization that each of the lights had a bright white ball at its center—something not typical of spotlights. Additionally, when the lights moved through the clouds and separated, they did not diffuse or angle outward the way a normal spotlight beam would. I turned off the lights in the room to get a better look. When I returned with my camera, the lights were gone. I waited to see if they would reappear, but they did not. The north-facing window looks directly onto the flight path for aircraft approaching Seattle–Tacoma International Airport. Whatever these lights were, they appeared to be flying just above the cloud layer. I’ve watched every type of airplane and helicopter imaginable pass by this window, and none of them have ever looked or behaved like what I observed tonight. Posted 2025-12-05",Seattle,WA,"Orb Color: White or blue Estimated Size: Larger than a helicopter Viewed From: Land Direction from Viewer: Facing north Angle of Elevation: 45 Closest Distance: Maybe a mile or two Estimated Speed: Slow to extremely fast Explanation: Searchlight - Possible Characteristics: Lights on object, Aura or haze around object Something zipped past the clouds outside my windows which drew my attention. Three more were moving around then took off I was sitting in my living room in Beacon Hill, just outside downtown Seattle, facing west and watching television. The blinds on the north-facing window were completely open. Suddenly, something very bright and fast zipped through the overcast clouds from west to east, right at the point where the roofline of my house meets the sky. This caught my attention and caused me to turn and look. Further north, I noticed three lights in the sky. At first, I dismissed them as spotlights, but I kept glancing back because their movement was unusual. The lights would separate, then come back together. Occasionally, one would zip away and then return. They moved in circles, traveled side by side, peeled off in different directions, and at times moved in a distinct zig-zag pattern. What prompted me to get up and move closer to the window was the realization that each of the lights had a bright white ball at its center—something not typical of spotlights. Additionally, when the lights moved through the clouds and separated, they did not diffuse or angle outward the way a normal spotlight beam would. I turned off the lights in the room to get a better look. When I returned with my camera, the lights were gone. I waited to see if they would reappear, but they did not. The north-facing window looks directly onto the flight path for aircraft approaching Seattle–Tacoma International Airport. Whatever these lights were, they appeared to be flying just above the cloud layer. I’ve watched every type of airplane and helicopter imaginable pass by this window, and none of them have ever looked or behaved like what I observed tonight. Posted 2025-12-05",,,,"Skip to content NUFORC UFO Sighting 194525 Occurred: 2025-12-02 21:00 Local Reported: 2025-12-03 12:53 Pacific Duration: 3ish minutes No of observers: 1 Location: Seattle, WA, USA Location details: In my living room looking out the north facing windows towards downtown Seattle Shape: Orb Color: White or blue Estimated Size: Larger than a helicopter Viewed From: Land Direction from Viewer: Facing north Angle of Elevation: 45 Closest Distance: Maybe a mile or two Estimated Speed: Slow to extremely fast Explanation: Searchlight - Possible Characteristics: Lights on object, Aura or haze around object Something zipped past the clouds outside my windows which drew my attention. Three more were moving around then took off I was sitting in my living room in Beacon Hill, just outside downtown Seattle, facing west and watching television. The blinds on the north-facing window were completely open",https://nuforc.org/sighting/?id=194525
